id,book_url,Book-Title,Book-Author,author_url,score,ISBN,rating,rating_count,review_count,page_count,year,genres
23772,/book/show/23772.Green_Eggs_and_Ham,Green Eggs and Ham,Dr. Seuss,https://www.goodreads.com/author/show/61105.Dr_Seuss,494185,9780394800165,4.30,595769,9208,62,1988,Childrens
1381,/book/show/1381.The_Odyssey,The Odyssey,Homer,https://www.goodreads.com/author/show/903.Homer,488592,9780143039952,3.77,844968,11868,541,2006,Classics
4214,/book/show/4214.Life_of_Pi,Life of Pi,Yann Martel,https://www.goodreads.com/author/show/811.Yann_Martel,485940,9780770430078,3.91,1309184,46807,460,2006,Fiction
1953,/book/show/1953.A_Tale_of_Two_Cities,A Tale of Two Cities,Charles Dickens,https://www.goodreads.com/author/show/239579.Charles_Dickens,483607,9780141439600,3.84,795321,17016,489,2003,Classics
43641,/book/show/43641.Water_for_Elephants,Water for Elephants,Sara Gruen,https://www.goodreads.com/author/show/24556.Sara_Gruen,472223,9781565125605,4.09,1353164,58517,335,2007,Fiction
7604,/book/show/7604.Lolita,Lolita,Vladimir Nabokov,https://www.goodreads.com/author/show/5152.Vladimir_Nabokov,458685,null,3.89,647891,23898,331,1995,Classics
4981,/book/show/4981.Slaughterhouse_Five,Slaughterhouse-Five,Kurt Vonnegut Jr.,https://www.goodreads.com/author/show/2778055.Kurt_Vonnegut_Jr_,443443,9780385333849,4.07,1105089,26259,275,1999,Classics
35031085,/book/show/35031085-frankenstein,Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,https://www.goodreads.com/author/show/11139.Mary_Wollstonecraft_Shelley,430783,9780143131847,3.80,1132408,31805,288,2018,Classics
77203,/book/show/77203.The_Kite_Runner,The Kite Runner,Khaled Hosseini,https://www.goodreads.com/author/show/569.Khaled_Hosseini,427631,null,4.30,2365531,72036,371,2004,Fiction
38447,/book/show/38447.The_Handmaid_s_Tale,"The Handmaid's Tale (The Handmaid's Tale, #1)",Margaret Atwood,https://www.goodreads.com/author/show/3472.Margaret_Atwood,409966,null,4.11,1403365,68447,314,1998,Fiction
